firstName,lastName,birthday,email,ticketsNum
Ion,Marinel,07-05-2020,ion@gmail.com,1
Donald,Duck,14-05-2020,trump@gmail.com,1
Potato,Couch,08-05-2020,athome@gmail.com,1
Ion,Ion,15-05-2020,email@email.com,1
Abs,Abs,21-05-2020,email@email.com,1
Abc,Abc,07-05-2020,email@email.com,1
sdfsdasd,asdasd,15-05-2020,asdasd,1
sdfsdf,dfgdfg,17-05-2020,asdas,1
name,last name,09-05-2020,email,1
Salut,Erou,01-05-2020,email@email.com,1
sdfsdf,dfgdfg,09-05-2020,sad,1
sdfsd,dfgdfg,08-05-2020,asd,1
sdfsdfs,asdasda,08-05-2020,asda,1
Name,lastName,15-05-2020,email@gmail.com,1
Marian,Marinica,15-05-2020,mymail@gmail.com,1
Silviu,Gherman,09-05-2020,email@email.com,2
Silviu,Marian,15-05-2020,myemail@gmail.com,2
asdasd,sdfsdfs,08-05-2020,myemail@gmailcom,2
UnNume,UnNume,09-05-2020,email@gmail.com,4
Ion,Marian,20-06-2020,a@gmail.com,2
